Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Postal Code,Product ID,Sales,Quantity,Discount,Profit,Unit Price
1,CA-2022-152156,08-11-2022,11-11-2022,Second Class,CG-12520,Consumer,42420,FUR-BO-10001798,261.96,2,0,41.91,130.98
2,CA-2022-152156,08-11-2022,11-11-2022,Second Class,CG-12520,Consumer,42420,FUR-CH-10000454,731.94,3,0,219.58,243.98
3,CA-2022-138688,12-06-2022,16-06-2022,Second Class,DV-13045,Corporate,90036,OFF-LA-10000240,14.62,2,0,6.87,7.31
4,US-2021-108966,11-10-2021,18-10-2021,Standard Class,SO-20335,Consumer,33311,FUR-TA-10000577,957.58,5,0.45,-383.03,191.52
5,US-2021-108966,11-10-2021,18-10-2021,Standard Class,SO-20335,Consumer,33311,OFF-ST-10000760,22.37,2,0.2,2.52,11.18
6,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,FUR-FU-10001487,48.86,7,0,14.17,6.98
7,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,OFF-AR-10002833,7.28,4,0,1.97,1.82
8,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,TEC-PH-10002275,907.15,6,0.2,90.72,151.19
9,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,OFF-BI-10003910,18.5,3,0.2,5.78,6.17
10,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,OFF-AP-10002892,114.9,5,0,34.47,22.98
11,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,FUR-TA-10001539,1706.18,9,0.2,85.31,189.58
12,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,TEC-PH-10002033,911.42,4,0.2,68.36,227.86
13,CA-2023-114412,15-04-2023,20-04-2023,Standard Class,AA-10480,Consumer,28027,OFF-PA-10002365,15.55,3,0.2,5.44,5.18
14,CA-2022-161389,05-12-2022,10-12-2022,Standard Class,IM-15070,Consumer,98103,OFF-BI-10003656,407.98,3,0.2,132.59,135.99
15,US-2021-118983,22-11-2021,26-11-2021,Standard Class,HP-14815,Home Office,76106,OFF-AP-10002311,68.81,5,0.8,-123.86,13.76
16,US-2021-118983,22-11-2021,26-11-2021,Standard Class,HP-14815,Home Office,76106,OFF-BI-10000756,2.54,3,0.8,-3.82,0.85
17,CA-2020-105893,11-11-2020,18-11-2020,Standard Class,PK-19075,Consumer,53711,OFF-ST-10004186,665.88,6,0,13.32,110.98
18,CA-2020-167164,13-05-2020,15-05-2020,Second Class,AG-10270,Consumer,84084,OFF-ST-10000107,55.5,2,0,9.99,27.75
19,CA-2020-143336,27-08-2020,01-09-2020,Second Class,ZD-21925,Consumer,94109,OFF-AR-10003056,8.56,2,0,2.48,4.28
20,CA-2020-143336,27-08-2020,01-09-2020,Second Class,ZD-21925,Consumer,94109,TEC-PH-10001949,213.48,3,0.2,16.01,71.16
21,CA-2020-143336,27-08-2020,01-09-2020,Second Class,ZD-21925,Consumer,94109,OFF-BI-10002215,22.72,4,0.2,7.38,5.68
22,CA-2022-137330,09-12-2022,13-12-2022,Standard Class,KB-16585,Corporate,68025,OFF-AR-10000246,19.46,7,0,5.06,2.78
23,CA-2022-137330,09-12-2022,13-12-2022,Standard Class,KB-16585,Corporate,68025,OFF-AP-10001492,60.34,7,0,15.69,8.62
24,US-2023-156909,16-07-2023,18-07-2023,Second Class,SF-20065,Consumer,19140,FUR-CH-10002774,71.37,2,0.3,-1.02,35.69
25,CA-2021-106320,25-09-2021,30-09-2021,Standard Class,EB-13870,Consumer,84057,FUR-TA-10000577,1044.63,3,0,240.26,348.21
26,CA-2022-121755,16-01-2022,20-01-2022,Second Class,EH-13945,Consumer,90049,OFF-BI-10001634,11.65,2,0.2,4.22,5.82
27,CA-2022-121755,16-01-2022,20-01-2022,Second Class,EH-13945,Consumer,90049,TEC-AC-10003027,90.57,3,0,11.77,30.19
28,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,FUR-BO-10004834,3083.43,7,0.5,-1665.05,440.49
29,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,OFF-BI-10000474,9.62,2,0.7,-7.05,4.81
30,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,FUR-FU-10004848,124.2,3,0.2,15.53,41.4
31,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,OFF-EN-10001509,3.26,2,0.2,1.1,1.63
